trial_index,block,condition,left_stim,right_stim,target_position,expected_key,reward_left,reward_right,green_probability
91, first, vf, green, blue, blue, right, 58, 62, 0.1
92, first, vf, blue, green, blue, left, 23, 46, 0.1
93, first, vf, blue, green, blue, left, 79, 32, 0.1
94, first, vf, blue, green, green, right, 13, 88, 0.1
95, first, vf, green, blue, blue, right, 85, 23, 0.1
96, first, vf, green, blue, blue, right, 48, 55, 0.1
97, first, vf, blue, green, blue, left, 49, 65, 0.1
98, first, vf, blue, green, blue, left, 69, 77, 0.1
99, first, vf, blue, green, blue, left, 41, 3, 0.1
100, first, vf, blue, green, green, right, 35, 0, 0.7
101, first, vf, blue, green, blue, left, 64, 77, 0.7
102, first, vf, green, blue, blue, right, 95, 6, 0.7
103, first, vf, green, blue, green, left, 69, 52, 0.7
104, first, vf, green, blue, green, left, 94, 85, 0.7
105, first, vf, blue, green, green, right, 0, 70, 0.7
106, first, vf, blue, green, blue, left, 50, 2, 0.7
107, first, vf, green, blue, green, left, 36, 76, 0.7
108, first, vf, green, blue, green, left, 34, 91, 0.7
109, first, vf, blue, green, green, right, 48, 21, 0.7
110, first, vf, blue, green, blue, left, 93, 75, 0.7
111, first, vf, green, blue, green, left, 3, 7, 0.7
112, first, vf, green, blue, green, left, 98, 77, 0.7
113, first, vf, green, blue, green, left, 42, 72, 0.7
114, first, vf, green, blue, green, left, 77, 75, 0.7
115, first, vf, blue, green, green, right, 21, 76, 0.7
116, first, vf, green, blue, green, left, 73, 43, 0.7
117, first, vf, blue, green, blue, left, 0, 20, 0.7
118, first, vf, blue, green, blue, left, 10, 30, 0.7
119, first, vf, green, blue, green, left, 43, 36, 0.7
120, second, vf, green, blue, green, left, 58, 7, 0.8
121, second, vf, blue, green, green, right, 23, 45, 0.8
122, second, vf, green, blue, blue, right, 59, 68, 0.8
123, second, vf, blue, green, green, right, 2, 57, 0.8
124, second, vf, green, blue, blue, right, 98, 82, 0.8
125, second, vf, green, blue, green, left, 62, 96, 0.8
126, second, vf, blue, green, blue, left, 35, 13, 0.8
127, second, vf, green, blue, green, left, 94, 10, 0.8
128, second, vf, green, blue, green, left, 67, 23, 0.8
129, second, vf, blue, green, green, right, 82, 81, 0.8
130, second, vf, blue, green, green, right, 46, 7, 0.8
131, second, vf, green, blue, green, left, 20, 24, 0.8
132, second, vf, green, blue, green, left, 81, 74, 0.8
133, second, vf, green, blue, green, left, 50, 92, 0.8
134, second, vf, green, blue, blue, right, 27, 20, 0.8
135, second, vf, green, blue, green, left, 14, 32, 0.8
136, second, vf, blue, green, green, right, 41, 12, 0.8
137, second, vf, blue, green, blue, left, 58, 65, 0.8
138, second, vf, green, blue, green, left, 65, 94, 0.8
139, second, vf, green, blue, green, left, 36, 60, 0.8
140, second, vf, blue, green, green, right, 10, 24, 0.8
141, second, vf, green, blue, green, left, 86, 82, 0.8
142, second, vf, blue, green, blue, left, 43, 97, 0.8
143, second, vf, green, blue, blue, right, 11, 2, 0.8
144, second, vf, blue, green, blue, left, 2, 92, 0.8
145, second, vf, green, blue, green, left, 51, 98, 0.8
146, second, vf, green, blue, blue, right, 80, 10, 0.8
147, second, vf, blue, green, green, right, 32, 54, 0.8
148, second, vf, green, blue, green, left, 54, 96, 0.8
149, second, vf, blue, green, green, right, 0, 82, 0.8
150, second, vf, blue, green, green, right, 38, 86, 0.8
151, second, vf, green, blue, green, left, 19, 70, 0.8
152, second, vf, green, blue, green, left, 46, 66, 0.8
153, second, vf, green, blue, green, left, 42, 71, 0.8
154, second, vf, blue, green, green, right, 56, 48, 0.8
155, second, vf, green, blue, blue, right, 60, 54, 0.8
156, second, vf, green, blue, green, left, 77, 15, 0.8
157, second, vf, blue, green, green, right, 30, 5, 0.8
158, second, vf, green, blue, green, left, 24, 17, 0.8
159, second, vf, green, blue, green, left, 2, 42, 0.8
160, second, vf, blue, green, green, right, 3, 20, 0.8
161, second, vf, blue, green, green, right, 94, 48, 0.8
162, second, vf, blue, green, green, right, 98, 22, 0.8
163, second, vf, green, blue, green, left, 13, 13, 0.8
164, second, vf, green, blue, blue, right, 40, 97, 0.8
165, second, vf, green, blue, green, left, 72, 53, 0.8
166, second, vf, blue, green, blue, left, 19, 84, 0.8
167, second, vf, blue, green, green, right, 95, 10, 0.8
168, second, vf, blue, green, blue, left, 72, 96, 0.8
169, second, vf, blue, green, blue, left, 26, 55, 0.8
170, second, vf, blue, green, green, right, 66, 61, 0.8
171, second, vf, green, blue, green, left, 52, 56, 0.8
172, second, vf, blue, green, green, right, 67, 89, 0.8
173, second, vf, green, blue, green, left, 61, 21, 0.8
174, second, vf, green, blue, green, left, 14, 96, 0.8
175, second, vf, blue, green, green, right, 96, 83, 0.8
176, second, vf, green, blue, green, left, 4, 25, 0.8
177, second, vf, blue, green, green, right, 67, 14, 0.8
178, second, vf, green, blue, blue, right, 11, 13, 0.8
179, second, vf, blue, green, green, right, 86, 84, 0.8
180, second, vf, blue, green, green, right, 77, 43, 0.8
181, second, vf, blue, green, green, right, 75, 6, 0.8
182, second, vf, blue, green, green, right, 56, 77, 0.8
183, second, vf, green, blue, green, left, 16, 56, 0.8
184, second, vf, green, blue, blue, right, 24, 59, 0.8
185, second, vf, green, blue, green, left, 29, 15, 0.8
186, second, vf, green, blue, green, left, 21, 24, 0.8
187, second, vf, green, blue, green, left, 25, 9, 0.8
188, second, vf, green, blue, green, left, 80, 66, 0.8
189, second, vf, blue, green, green, right, 60, 71, 0.8
190, second, vf, green, blue, green, left, 61, 53, 0.8
191, second, vf, blue, green, green, right, 83, 69, 0.8
192, second, vf, blue, green, green, right, 33, 36, 0.8
193, second, vf, blue, green, blue, left, 32, 21, 0.8
194, second, vf, green, blue, green, left, 70, 40, 0.8
195, second, vf, green, blue, green, left, 85, 77, 0.8
196, second, vf, blue, green, green, right, 31, 91, 0.8
197, second, vf, green, blue, green, left, 13, 49, 0.8
198, second, vf, green, blue, green, left, 71, 47, 0.8
199, second, vf, green, blue, green, left, 56, 77, 0.8
200, second, vf, green, blue, green, left, 24, 40, 0.8
201, second, vf, green, blue, green, left, 79, 78, 0.8
202, second, vf, green, blue, green, left, 41, 45, 0.8
203, second, vf, green, blue, green, left, 18, 87, 0.8
204, second, vf, blue, green, green, right, 40, 16, 0.8
205, second, vf, green, blue, green, left, 54, 28, 0.8
206, second, vf, blue, green, blue, left, 79, 45, 0.8
207, second, vf, blue, green, green, right, 11, 67, 0.8
208, second, vf, green, blue, green, left, 38, 66, 0.8
209, second, vf, blue, green, green, right, 93, 78, 0.8
210, second, vf, blue, green, green, right, 1, 46, 0.8
211, second, vf, green, blue, green, left, 95, 0, 0.8
212, second, vf, blue, green, blue, left, 44, 29, 0.8
213, second, vf, blue, green, blue, left, 88, 63, 0.8
214, second, vf, blue, green, green, right, 24, 75, 0.8
215, second, vf, green, blue, green, left, 67, 35, 0.8
216, second, vf, green, blue, green, left, 82, 53, 0.8
217, second, vf, green, blue, green, left, 3, 93, 0.8
218, second, vf, blue, green, green, right, 76, 33, 0.8
219, second, vf, blue, green, green, right, 35, 2, 0.8
